,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,threshold
207,1.0,5.0,122.0,70460.0,74100.0,401.0,741.0,95.08771929824562,15.789473684210526,117.0,0.54
212,1.0,5.0,123.0,71940.0,76200.0,401.0,762.0,94.40944881889763,15.485564304461944,118.0,0.54
217,1.0,5.0,124.0,66370.0,74600.0,401.0,746.0,88.96782841823057,15.013404825737265,112.0,0.54
222,1.0,5.0,125.0,64570.0,69200.0,401.0,692.0,93.3092485549133,15.895953757225435,110.0,0.54
227,1.0,5.0,126.0,61650.0,67500.0,401.0,675.0,91.33333333333333,15.703703703703702,106.0,0.54
232,1.0,5.0,127.0,61710.0,66000.0,401.0,660.0,93.5,15.909090909090908,105.0,0.54
237,1.0,5.0,128.0,57840.0,64200.0,401.0,642.0,90.09345794392523,15.732087227414329,101.0,0.54
242,1.0,5.0,129.0,54710.0,61800.0,401.0,618.0,88.52750809061489,15.857605177993527,98.0,0.54
247,1.0,5.0,130.0,50190.0,58800.0,401.0,588.0,85.35714285714285,15.646258503401361,92.0,0.54
252,1.0,5.0,131.0,48620.0,57600.0,401.0,576.0,84.40972222222223,15.625,90.0,0.54
257,1.0,5.0,132.0,43170.0,54300.0,401.0,543.0,79.50276243093923,14.917127071823206,81.0,0.54
262,1.0,5.0,133.0,43440.0,54700.0,401.0,547.0,79.41499085923218,15.173674588665447,83.0,0.54
267,1.0,5.0,134.0,39820.0,49200.0,401.0,492.0,80.9349593495935,15.650406504065039,77.0,0.54
272,1.0,5.0,135.0,37790.0,48700.0,401.0,487.0,77.59753593429159,15.195071868583163,74.0,0.54
277,1.0,5.0,136.0,39470.0,48400.0,401.0,484.0,81.54958677685951,15.909090909090908,77.0,0.54
282,1.0,5.0,137.0,36220.0,45500.0,401.0,455.0,79.6043956043956,15.604395604395604,71.0,0.54
287,1.0,5.0,138.0,36190.0,43200.0,401.0,432.0,83.77314814814815,16.435185185185187,71.0,0.54
292,1.0,5.0,139.0,35330.0,42800.0,401.0,428.0,82.54672897196261,16.121495327102803,69.0,0.54
297,1.0,5.0,140.0,32410.0,38000.0,401.0,380.0,85.28947368421052,16.842105263157894,64.0,0.54
