racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
3769,3,1,43,0.333,0.18
3771,3,1,42,0.402,0.14
3772,2,1,42,0.258,0.18
3773,2,1,42,0.368,0.18
3775,2,1,42,0.223,0.19
3776,2,1,41,0.241,0.20
3777,4,1,41,0.489,0.19
3778,2,0,41,0.322,0.21
3779,4,1,41,0.500,0.12
3780,4,1,41,0.534,0.16
3781,2,1,40,0.287,0.16
3782,4,1,40,0.480,0.13
3783,4,1,40,0.551,0.13
3784,4,1,40,0.414,0.16
3787,2,1,45,0.214,0.18
3788,4,1,45,0.461,0.14
3789,2,1,44,0.059,0.24
3790,2,1,44,0.301,0.19
3791,2,1,44,0.162,0.19
3792,4,1,44,0.489,0.17
3793,1,1,44,0.083,0.21
3794,2,1,43,0.276,0.21
3795,4,1,43,0.683,0.14
3796,2,1,43,0.225,0.20
3797,2,1,43,0.296,0.17
3798,2,1,43,0.198,0.21
3799,3,1,43,0.415,0.13
3800,2,1,42,0.258,0.20
3801,2,0,42,0.294,0.15
3802,2,0,42,0.333,0.18
3804,2,1,42,0.292,0.17
3805,4,1,42,0.496,0.12
3807,2,1,42,0.247,0.17
3808,2,1,41,0.287,0.16
3809,3,1,41,0.392,0.17
3811,3,1,41,0.434,0.16
3812,2,1,40,0.204,0.20
3813,4,1,40,0.469,0.19
3814,3,1,40,0.353,0.18
3815,3,1,40,0.444,0.14
3817,2,0,39,0.113,0.22
3818,2,1,45,0.102,0.16
3819,2,1,44,0.198,0.19
3820,2,1,44,0.250,0.17
3822,4,1,44,0.564,0.18
3823,3,1,44,0.393,0.17
3824,2,1,43,0.064,0.20
3825,2,1,43,0.200,0.16
3826,4,1,43,0.477,0.16
3827,2,1,43,0.181,0.18
3828,3,1,43,0.414,0.18
3829,2,1,43,0.141,0.17
3830,1,1,42,0.100,0.16
3831,2,1,42,0.393,0.14
3832,3,1,42,0.365,0.16
3833,4,1,42,0.493,0.13
3834,3,1,42,0.375,0.19
3835,2,1,41,0.209,0.22
3837,3,1,41,0.391,0.16
3838,3,1,41,0.408,0.14
3839,3,1,41,0.348,0.17
3841,4,1,40,0.459,0.19
3842,2,1,40,0.275,0.20
3843,3,1,40,0.333,0.18
3845,4,0,40,0.542,0.17
3846,2,1,40,0.270,0.18
3847,2,1,39,0.174,0.15
3848,2,1,39,0.327,0.17
3849,4,1,39,0.577,0.12
3850,2,1,44,0.246,0.17
3851,2,1,44,0.228,0.17
3852,3,1,44,0.303,0.16
3853,4,1,44,0.518,0.17
3854,4,1,44,0.536,0.14
3855,2,1,44,0.208,0.20
3856,2,1,44,0.160,0.16
3857,1,1,43,0.366,0.17
3858,2,1,43,0.319,0.17
3859,2,1,43,0.172,0.18
3860,2,1,43,0.336,0.20
