,pred_8,pred_13,pred_14,pred_21,pred_26,result_com,date,year,month,day,num_date,range_date,season,right_pred,num_pred,money
140,0.0,0.0,0.0,0.0,0.0,43,2020-04-24,2020,4,24,2,7,sp,0,0,6440.0
141,0.0,0.0,0.0,0.0,0.0,23,2020-04-24,2020,4,24,2,7,sp,0,0,2270.0
142,0.0,0.0,0.0,0.0,0.0,10,2020-04-24,2020,4,24,2,7,sp,0,0,2170.0
143,0.0,0.0,1.0,0.0,0.0,3,2020-04-24,2020,4,24,2,7,sp,0,1,5020.0
144,0.0,0.0,0.0,0.0,0.0,18,2020-04-24,2020,4,24,2,7,sp,0,0,13620.0
145,0.0,0.0,0.0,0.0,0.0,3,2020-04-24,2020,4,24,2,7,sp,0,0,3140.0
146,0.0,0.0,0.0,0.0,0.0,80,2020-04-25,2020,4,25,3,7,sp,0,0,11680.0
147,0.0,0.0,0.0,0.0,0.0,73,2020-04-25,2020,4,25,3,7,sp,0,0,7340.0
148,0.0,0.0,0.0,0.0,0.0,42,2020-04-25,2020,4,25,3,7,sp,0,0,750.0
149,0.0,0.0,0.0,0.0,0.0,62,2020-04-25,2020,4,25,3,7,sp,0,0,2560.0
150,0.0,0.0,0.0,0.0,1.0,80,2020-04-25,2020,4,25,3,7,sp,0,1,12390.0
151,0.0,0.0,0.0,1.0,0.0,98,2020-04-25,2020,4,25,3,7,sp,0,1,14810.0
152,0.0,0.0,0.0,0.0,0.0,69,2020-04-25,2020,4,25,3,7,sp,0,0,1470.0
153,0.0,1.0,1.0,0.0,0.0,36,2020-04-25,2020,4,25,3,7,sp,0,2,6260.0
154,0.0,0.0,0.0,0.0,0.0,14,2020-04-25,2020,4,25,3,7,sp,0,0,3150.0
155,0.0,0.0,1.0,0.0,0.0,63,2020-04-25,2020,4,25,3,7,sp,0,1,6530.0
156,0.0,0.0,0.0,0.0,0.0,13,2020-04-26,2020,4,26,4,7,sp,0,0,1220.0
157,0.0,0.0,0.0,0.0,0.0,53,2020-04-26,2020,4,26,4,7,sp,0,0,36230.0
158,0.0,0.0,0.0,0.0,0.0,50,2020-04-26,2020,4,26,4,7,sp,0,0,2770.0
159,0.0,0.0,0.0,0.0,0.0,6,2020-04-26,2020,4,26,4,7,sp,0,0,2140.0
160,0.0,0.0,0.0,0.0,0.0,30,2020-04-26,2020,4,26,4,7,sp,0,0,10070.0
161,0.0,0.0,0.0,0.0,1.0,63,2020-04-26,2020,4,26,4,7,sp,0,1,5710.0
162,0.0,0.0,0.0,0.0,1.0,29,2020-04-26,2020,4,26,4,7,sp,0,1,2490.0
163,0.0,0.0,0.0,0.0,0.0,5,2020-04-26,2020,4,26,4,7,sp,0,0,1210.0
164,0.0,0.0,1.0,0.0,0.0,1,2020-04-26,2020,4,26,4,7,sp,0,1,2580.0
165,0.0,0.0,0.0,0.0,0.0,27,2020-04-26,2020,4,26,4,7,sp,0,0,5990.0
166,0.0,1.0,1.0,0.0,0.0,84,2020-04-26,2020,4,26,4,7,sp,0,2,10730.0
167,0.0,0.0,0.0,0.0,0.0,16,2020-04-27,2020,4,27,5,7,sp,0,0,2960.0
168,0.0,0.0,0.0,0.0,0.0,5,2020-04-27,2020,4,27,5,7,sp,0,0,1340.0
169,0.0,0.0,0.0,0.0,0.0,105,2020-04-27,2020,4,27,5,7,sp,0,0,20790.0
170,0.0,1.0,0.0,0.0,0.0,76,2020-04-27,2020,4,27,5,7,sp,0,1,18580.0
171,0.0,0.0,0.0,0.0,0.0,73,2020-04-27,2020,4,27,5,7,sp,0,0,7030.0
172,0.0,0.0,0.0,0.0,0.0,107,2020-04-27,2020,4,27,5,7,sp,0,0,4350.0
173,0.0,0.0,0.0,0.0,0.0,4,2020-04-27,2020,4,27,5,7,sp,0,0,8950.0
174,0.0,0.0,1.0,0.0,0.0,17,2020-04-27,2020,4,27,5,7,sp,0,1,2770.0
175,0.0,0.0,0.0,0.0,0.0,5,2020-04-27,2020,4,27,5,7,sp,0,0,360.0
176,0.0,0.0,0.0,0.0,0.0,10,2020-04-27,2020,4,27,5,7,sp,0,0,1060.0
177,0.0,0.0,0.0,0.0,0.0,9,2020-04-27,2020,4,27,5,7,sp,0,0,1340.0
178,0.0,0.0,0.0,0.0,0.0,4,2020-04-28,2020,4,28,6,7,sp,0,0,650.0
