,money,number_race,racer_1_ID,racer_2_ID,racer_3_ID,racer_4_ID,racer_5_ID,racer_6_ID,result_com
,2090.0,10,4410,4549,3882,3489,3488,3265,1
,190.0,11,3901,4105,3703,3458,3757,4579,2
,1970.0,12,4545,3268,3577,3679,3614,4112,5
,6200.0,1,3919,3460,3189,3868,5041,4660,17
,1360.0,2,4410,3335,4661,3703,4943,4549,20
,1020.0,3,3268,4684,4043,4126,3882,3503,14
,590.0,4,3679,4561,4435,4579,3458,4952,1
,310.0,5,3265,3901,3539,3189,3577,3488,1
,14870.0,6,3592,3975,3489,4131,4661,4329,26
,2440.0,7,4200,3503,4549,4105,3868,4943,12
,690.0,8,4579,4660,4684,3614,4545,3757,3
,980.0,9,4561,4126,3458,3901,3741,4131,5
,1180.0,10,4112,3703,4931,3882,3696,3460,4
,16270.0,11,4043,3488,3757,3679,3975,3335,22
,1500.0,12,3489,3577,4545,3919,4410,4435,4
,2760.0,1,3679,3539,3741,4661,4952,3614,6
,650.0,2,4410,4931,4561,4545,3189,4200,16
,640.0,3,4043,4105,4131,3460,4112,4684,1
,200.0,4,3489,4943,3265,4329,4435,4126,2
,670.0,5,3268,3703,3696,4753,3488,4952,2
,760.0,6,3577,4200,3614,4579,3882,3741,16
,310.0,7,4549,4660,3335,4561,3539,5041,3
,290.0,8,3757,3189,3592,3975,3503,4105,2
,310.0,9,3901,3882,3460,3265,4753,3868,3
,750.0,10,4112,4579,4410,3268,4329,4131,3
,540.0,11,3703,4043,4435,3577,4549,3592,2
,260.0,12,4545,3679,3489,3696,3901,3757,2
,4680.0,2,3679,3614,4684,3265,4126,4561,8
,430.0,3,3901,4753,3488,3503,3757,4661,1
,190.0,4,4043,4549,4660,3741,4200,4952,1
,5540.0,5,4131,3882,4931,4105,4579,3335,12
,330.0,6,3975,4329,4410,3868,4684,3539,1
,980.0,7,3503,4394,3189,3614,3696,5041,19
,460.0,8,3488,4561,4661,4126,3741,3460,6
,220.0,9,3265,3975,4753,4660,4931,4943,1
,490.0,10,3696,4043,4329,3757,4131,3577,6
,1380.0,11,4579,3592,3679,4549,4410,3901,4
,270.0,12,4545,3703,4112,3489,3268,4435,1
,260.0,1,4351,4866,4393,4272,4368,4232,2
,860.0,2,3360,3714,4212,3853,4727,5012,2
,1080.0,3,4336,3928,3257,2816,4330,4942,14
,360.0,4,4522,4612,4301,3752,4697,5008,3
,210.0,5,4657,4288,3722,4332,4314,4866,1
,340.0,6,4394,3566,4232,4614,3953,4122,1
,1150.0,7,2816,4368,4753,3714,4346,4555,3
,430.0,8,4301,4272,4899,4102,4336,4727,3
,490.0,9,3953,3726,4451,4212,4079,3352,2
,970.0,10,4330,3616,4657,4697,4022,3566,3
,350.0,11,4102,4314,4122,3360,4393,3752,2
,240.0,12,3257,3853,4288,4351,4522,4451,1
,240.0,1,4614,4727,4612,4555,5008,4899,3
,290.0,2,3752,4022,4346,3257,3928,4212,16
,240.0,3,4122,3722,3853,4368,3726,3352,2
,230.0,4,4451,3953,4332,3566,4753,5012,1
,3010.0,5,4079,4351,4942,4232,4555,4330,27
