racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
3870,3,1,40,0.316,0.16
3871,3,0,40,0.398,0.18
3872,4,1,39,0.438,0.17
3873,3,1,39,0.423,0.18
3874,4,1,39,0.589,0.15
3875,3,1,39,0.365,0.15
3876,4,1,38,0.624,0.16
3877,3,1,38,0.323,0.16
3878,2,1,38,0.246,0.16
3879,2,1,43,0.174,0.20
3880,2,1,42,0.257,0.18
3881,2,1,42,0.375,0.16
3882,3,1,42,0.369,0.19
3883,2,1,42,0.112,0.18
3884,2,1,42,0.170,0.17
3885,3,1,41,0.391,0.19
3887,3,1,41,0.586,0.14
3888,4,1,40,0.521,0.14
3889,2,1,40,0.311,0.18
3890,3,1,40,0.344,0.18
3891,2,1,40,0.168,0.19
3892,3,1,39,0.467,0.18
3893,2,1,39,0.282,0.18
3894,2,0,39,0.282,0.19
3895,3,1,39,0.343,0.16
3896,4,1,39,0.491,0.15
3897,4,1,39,0.486,0.16
3898,4,1,39,0.564,0.17
3899,4,1,39,0.491,0.17
3900,4,0,38,0.493,0.17
3901,3,1,38,0.356,0.18
3902,2,1,38,0.381,0.22
3903,3,1,38,0.558,0.13
3904,3,1,38,0.418,0.17
3905,2,1,38,0.220,0.17
3906,2,1,38,0.341,0.17
3907,4,1,37,0.526,0.18
3908,4,1,37,0.517,0.13
3909,4,1,42,0.503,0.14
3910,2,1,42,0.289,0.17
3911,2,1,42,0.288,0.15
3912,4,1,41,0.503,0.15
3915,3,1,41,0.487,0.18
3916,2,1,41,0.220,0.19
3918,4,1,41,0.485,0.15
3919,4,1,41,0.510,0.21
3920,3,1,41,0.339,0.18
3921,3,1,40,0.371,0.19
3922,2,1,40,0.281,0.20
3924,2,1,40,0.181,0.22
3925,2,1,40,0.330,0.18
3926,2,1,40,0.255,0.19
3927,2,1,40,0.111,0.20
3928,2,1,40,0.333,0.18
3929,3,1,40,0.359,0.17
3930,3,1,39,0.454,0.14
3931,3,1,39,0.425,0.15
3932,3,0,39,0.458,0.17
3933,3,1,39,0.472,0.18
3934,2,1,38,0.280,0.16
3935,2,1,38,0.322,0.15
3936,2,1,38,0.343,0.17
3939,3,1,37,0.326,0.19
3940,4,1,37,0.568,0.15
3941,4,1,37,0.558,0.15
3942,4,1,37,0.473,0.15
3943,2,0,37,0.210,0.15
3944,4,1,36,0.529,0.19
3945,2,1,40,0.275,0.20
3946,4,1,39,0.418,0.15
3947,3,1,39,0.433,0.16
3948,2,1,39,0.202,0.18
3949,2,1,39,0.330,0.17
3950,2,1,39,0.228,0.17
3951,3,1,39,0.338,0.17
3952,4,1,39,0.552,0.14
3953,3,1,39,0.354,0.19
3955,4,1,38,0.506,0.18
3956,4,1,38,0.546,0.18
3957,3,1,38,0.423,0.22
3959,4,1,38,0.626,0.14
3960,4,1,37,0.347,0.13
3961,4,1,37,0.518,0.15
3963,4,1,36,0.474,0.15
3964,2,1,36,0.187,0.21
3965,3,1,36,0.446,0.16
3966,4,1,36,0.586,0.19
3967,3,1,36,0.340,0.18
3968,2,1,39,0.303,0.23
3970,3,1,39,0.326,0.19
3972,1,1,39,0.020,0.21
3973,2,1,39,0.176,0.21
3974,2,1,39,0.271,0.16
3975,3,1,38,0.381,0.20
3976,2,1,38,0.213,0.19
3977,2,1,38,0.288,0.17
3978,4,1,38,0.465,0.15
3979,2,1,38,0.186,0.21
3980,2,1,38,0.299,0.16
3981,3,1,38,0.389,0.15
3982,2,1,38,0.235,0.18
3983,4,1,38,0.525,0.13
3984,4,1,38,0.570,0.17
3985,2,1,37,0.308,0.16
3986,4,1,37,0.473,0.14
3987,3,1,37,0.383,0.15
3988,3,1,37,0.392,0.19
3989,2,1,37,0.192,0.21
3990,3,1,37,0.412,0.15
3992,3,1,37,0.348,0.15
3993,4,0,36,0.567,0.15
3994,2,0,36,0.307,0.20
3995,4,1,36,0.555,0.14
3996,4,1,36,0.438,0.18
3997,4,1,36,0.479,0.19
3998,2,1,36,0.335,0.18
3999,4,0,36,0.551,0.16
4000,3,1,38,0.398,0.17
4002,4,1,38,0.508,0.16
4003,3,1,38,0.403,0.16
4004,2,1,37,0.218,0.20
4005,2,1,37,0.284,0.16
4006,4,1,37,0.483,0.20
4007,2,1,36,0.255,0.14
4008,4,1,36,0.462,0.16
4009,2,1,36,0.262,0.15
4010,2,1,36,0.113,0.20
4011,4,0,36,0.470,0.17
4012,4,1,36,0.481,0.16
4013,4,1,36,0.492,0.16
4014,3,0,36,0.420,0.17
4015,3,1,36,0.447,0.17
4016,3,1,36,0.353,0.18
4017,1,0,35,0.446,0.18
4019,4,1,35,0.673,0.17
4020,2,1,35,0.235,0.21
4021,3,1,35,0.413,0.14
4022,4,1,35,0.472,0.15
4023,2,1,38,0.250,0.17
4024,4,1,38,0.464,0.14
4025,4,1,38,0.503,0.17
4026,1,1,38,0.040,0.24
4027,4,1,37,0.485,0.17
4028,4,1,37,0.693,0.16
4030,4,1,37,0.425,0.15
4031,2,1,37,0.284,0.17
4033,4,1,37,0.600,0.14
4034,2,1,37,0.330,0.19
4035,2,1,37,0.252,0.21
4036,3,1,37,0.466,0.19
4037,2,1,37,0.348,0.18
4038,2,1,37,0.258,0.17
4039,3,1,37,0.403,0.15
4040,3,1,36,0.388,0.15
4041,2,1,36,0.294,0.21
4042,4,1,36,0.575,0.16
4043,4,1,36,0.478,0.17
4044,4,1,36,0.594,0.17
4045,3,0,36,0.451,0.14
4046,2,1,36,0.129,0.19
4047,3,1,35,0.330,0.17
4049,4,1,35,0.440,0.19
4050,1,0,34,0.000,0.00
4051,3,1,34,0.436,0.19
4052,4,1,34,0.507,0.15
4053,4,1,37,0.474,0.16
4054,2,1,37,0.207,0.16
4055,4,1,37,0.391,0.15
4056,2,1,37,0.326,0.17
4057,4,1,36,0.449,0.17
4058,2,1,36,0.218,0.19
4059,3,1,36,0.419,0.16
4060,2,1,36,0.311,0.16
4061,4,1,36,0.551,0.15
4062,3,1,36,0.375,0.16
4063,4,1,36,0.493,0.14
4064,4,1,36,0.526,0.18
4065,4,0,36,0.532,0.13
4066,4,1,35,0.441,0.15
4067,4,1,35,0.483,0.17
4068,3,1,35,0.386,0.15
4069,3,1,35,0.348,0.19
4070,2,1,35,0.444,0.17
4071,2,0,35,0.298,0.15
4072,4,1,34,0.666,0.14
4073,4,1,34,0.504,0.16
4074,4,1,34,0.514,0.13
4075,4,1,34,0.419,0.16
4076,4,1,37,0.482,0.20
4077,3,1,37,0.337,0.17
4078,2,1,37,0.188,0.23
4079,4,1,37,0.465,0.16
4080,4,1,36,0.446,0.15
4081,2,1,36,0.252,0.20
4082,2,1,36,0.338,0.17
4083,3,1,36,0.462,0.17
4084,3,1,36,0.409,0.16
