,target_com,depth,target_per,threshold,total_get_test,total_use_test,num_com_test,num_pred_test,gain_test,gain_std_test,num_hit_test,buy_hit_per_test,buy_hit_per_std_test,plus_month_num_test,diff_mea_med_test,total_get_final,total_use_final,num_com_final,num_pred_final,gain_final,gain_std_final,num_hit_final,buy_hit_per_final,buy_hit_per_std_final,plus_month_num_final,diff_mea_med_final
3315,7.0,7.0,94.0,0.5,37040.0,36900.0,48.0,369.0,100.37940379403794,47.05182931139523,25.0,6.775067750677506,0.331909179238913,3.0,712.7285714285713,10440.0,19300.0,25.0,193.0,54.09326424870466,8.681184369920203,10.0,5.181347150259067,0.2991452171966974,0.0,-9.166666666666517
3317,7.0,7.0,94.0,0.58,26500.0,24800.0,48.0,248.0,106.85483870967742,38.7972586655756,20.0,8.064516129032258,0.4938487384643504,3.0,528.3333333333335,5190.0,13000.0,25.0,130.0,39.92307692307692,21.181674091777136,6.0,4.615384615384616,0.7692307692307693,0.0,-52.22222222222217
3318,7.0,7.0,95.0,0.5,37700.0,36700.0,48.0,367.0,102.72479564032696,46.99247944417806,26.0,7.084468664850137,0.4477296110396452,3.0,684.55,9810.0,19400.0,25.0,194.0,50.567010309278345,8.544868387002062,9.0,4.639175257731959,0.5154639175257731,0.0,5.277777777777828
3320,7.0,7.0,95.0,0.58,26500.0,25000.0,48.0,250.0,106.0,41.00734153932078,20.0,8.0,0.4898979485566356,3.0,528.3333333333335,5290.0,12500.0,25.0,125.0,42.32,8.728890445297056,5.0,4.0,0.4618802153517006,0.0,0.0
3329,7.0,7.0,98.0,0.58,26500.0,24800.0,48.0,248.0,106.85483870967742,38.7972586655756,20.0,8.064516129032258,0.4938487384643504,3.0,528.3333333333335,6320.0,13100.0,25.0,131.0,48.2442748091603,18.65433691715465,6.0,4.580152671755725,0.7633587786259541,0.0,51.11111111111097
3336,7.0,7.0,101.0,0.5,34640.0,34600.0,48.0,346.0,100.1156069364162,45.07381552463241,24.0,6.9364161849710975,0.2418092562237212,3.0,709.3,9810.0,18400.0,25.0,184.0,53.31521739130435,8.354880335752167,9.0,4.891304347826087,0.5434782608695652,0.0,5.277777777777828
3338,7.0,7.0,101.0,0.58,24990.0,24000.0,48.0,240.0,104.125,35.19435800276031,19.0,7.916666666666666,0.348608344389198,3.0,552.3333333333335,3150.0,12200.0,25.0,122.0,25.81967213114754,17.07863786207792,4.0,3.278688524590164,0.473237925565267,0.0,0.0
3344,7.0,7.0,103.0,0.58,23720.0,23000.0,48.0,230.0,103.1304347826087,30.75311159264129,17.0,7.391304347826087,0.2381402423935504,3.0,657.3333333333335,3150.0,11600.0,25.0,116.0,27.155172413793103,18.086706078219137,4.0,3.4482758620689653,0.4977157493014015,0.0,0.0
3347,7.0,7.0,104.0,0.58,24210.0,22500.0,48.0,225.0,107.6,31.30137230081831,18.0,8.0,0.3975231959999625,3.0,606.8333333333335,3150.0,11500.0,25.0,115.0,27.39130434782609,17.72187279020091,4.0,3.4782608695652173,0.502043712338805,0.0,0.0
3350,7.0,7.0,105.0,0.58,22100.0,22000.0,48.0,220.0,100.45454545454548,43.0978904170808,15.0,6.8181818181818175,0.3214121732666125,3.0,635.8333333333335,3150.0,11500.0,25.0,115.0,27.39130434782609,18.84742362106454,4.0,3.4782608695652173,0.502043712338805,0.0,0.0
3353,7.0,7.0,106.0,0.58,24210.0,22300.0,48.0,223.0,108.56502242152466,31.122840424873715,18.0,8.071748878923767,0.4010884264573612,3.0,606.8333333333335,3150.0,11600.0,25.0,116.0,27.155172413793103,18.16347266966295,4.0,3.4482758620689653,0.4977157493014015,0.0,0.0
3355,7.0,7.0,107.0,0.54,27100.0,26800.0,48.0,268.0,101.11940298507464,34.214187455508885,21.0,7.835820895522389,0.4087481772426612,3.0,533.5,7330.0,14700.0,25.0,147.0,49.863945578231295,19.889174630910187,7.0,4.761904761904762,0.7855105703260216,0.0,-1.1111111111113132
3361,7.0,7.0,109.0,0.54,26500.0,26000.0,48.0,260.0,101.92307692307692,37.17111288384692,20.0,7.6923076923076925,0.4710557197659958,3.0,528.3333333333335,5190.0,14700.0,25.0,147.0,35.30612244897959,17.932801033124665,6.0,4.081632653061225,0.6802721088435374,0.0,-52.22222222222217
3364,7.0,7.0,110.0,0.54,26500.0,26400.0,48.0,264.0,100.37878787878788,36.461353457170944,20.0,7.575757575757576,0.4639185118907535,3.0,528.3333333333335,4160.0,14500.0,25.0,145.0,28.68965517241379,25.85917198556081,5.0,3.4482758620689653,0.7963451988822425,0.0,-52.22222222222217
3367,7.0,7.0,111.0,0.54,26500.0,26200.0,48.0,262.0,101.14503816793894,36.561273254348606,20.0,7.633587786259542,0.4674598745769423,2.0,528.3333333333335,7330.0,14000.0,25.0,140.0,52.35714285714286,18.75028084779104,7.0,5.0,0.8247860988423225,0.0,-1.1111111111113132
3368,7.0,7.0,111.0,0.58,21890.0,20700.0,48.0,207.0,105.7487922705314,48.274367635387165,15.0,7.246376811594203,0.3415974788340809,3.0,622.5,3150.0,10600.0,25.0,106.0,29.71698113207547,20.440683137685475,4.0,3.7735849056603774,0.5446700652732319,0.0,0.0
3371,7.0,7.0,112.0,0.58,22100.0,20800.0,48.0,208.0,106.25,47.48592662250267,15.0,7.211538461538461,0.3399551832627632,3.0,635.8333333333335,3150.0,10800.0,25.0,108.0,29.166666666666668,18.694401004047503,4.0,3.7037037037037033,0.5345835825829868,0.0,0.0
3373,7.0,7.0,113.0,0.54,25720.0,25500.0,48.0,255.0,100.8627450980392,36.28126544917282,19.0,7.450980392156863,0.5113099925649136,3.0,582.8333333333335,4160.0,13400.0,25.0,134.0,31.044776119402982,28.601605725253243,5.0,3.731343283582089,0.8617168196860086,0.0,-52.22222222222217
3376,7.0,7.0,114.0,0.54,25720.0,25300.0,48.0,253.0,101.6600790513834,37.62058216459652,19.0,7.5098814229249,0.5153519687907231,2.0,582.8333333333335,5190.0,13900.0,25.0,139.0,37.33812949640288,19.537032715002137,6.0,4.316546762589928,0.7194244604316545,0.0,-52.22222222222217
3379,7.0,7.0,115.0,0.54,25720.0,25200.0,48.0,252.0,102.06349206349203,37.44137823325442,19.0,7.5396825396825395,0.5173970162859245,2.0,582.8333333333335,4160.0,13000.0,25.0,130.0,32.0,27.504287914990364,5.0,3.8461538461538463,0.8882311833686551,0.0,-52.22222222222217
3382,7.0,7.0,116.0,0.54,25720.0,24500.0,48.0,245.0,104.97959183673468,39.61078241705195,19.0,7.755102040816326,0.532179788179808,3.0,582.8333333333335,4160.0,13300.0,25.0,133.0,31.278195488721806,28.5499372566396,5.0,3.7593984962406015,0.8681958935182341,0.0,-52.22222222222217
3385,7.0,7.0,117.0,0.54,24960.0,24300.0,48.0,243.0,102.71604938271604,44.74201693603806,18.0,7.4074074074074066,0.6241049748190576,2.0,571.5,6300.0,12900.0,25.0,129.0,48.837209302325576,16.436342514341195,6.0,4.651162790697675,0.7751937984496124,0.0,-52.22222222222217
