,target_com,depth,target_per,threshold,total_get_test,total_use_test,num_com_test,num_pred_test,gain_test,gain_std_test,num_hit_test,buy_hit_per_test,buy_hit_per_std_test,plus_month_num_test,diff_mea_med_test,total_get_final,total_use_final,num_com_final,num_pred_final,gain_final,gain_std_final,num_hit_final,buy_hit_per_final,buy_hit_per_std_final,plus_month_num_final,diff_mea_med_final
1439,3.0,7.0,140.0,0.58,19190.0,11000.0,45.0,110.0,174.45454545454547,200.63797028074487,5.0,4.545454545454546,0.9090909090909092,2.0,0.0,0.0,4800.0,14.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1440,3.0,7.0,141.0,0.5,63290.0,26300.0,45.0,263.0,240.6463878326996,181.38720457784865,15.0,5.70342205323194,0.8065856819618413,3.0,-186.4000000000001,2470.0,13700.0,14.0,137.0,18.02919708029197,19.597366696784363,3.0,2.18978102189781,0.7299270072992701,0.0,0.0
1441,3.0,7.0,141.0,0.54,40390.0,18700.0,45.0,187.0,215.9893048128342,151.13088036711264,10.0,5.347593582887701,0.7562639370979117,3.0,34.5,660.0,8300.0,14.0,83.0,7.951807228915662,12.701705922171769,1.0,1.2048192771084338,0.6956027339634046,0.0,0.0
1442,3.0,7.0,141.0,0.58,24510.0,10400.0,45.0,104.0,235.6730769230769,205.98077357048516,5.0,4.807692307692308,0.6799103665255265,3.0,0.0,0.0,4700.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1443,3.0,7.0,142.0,0.5,63290.0,26100.0,45.0,261.0,242.4904214559387,180.67006930980293,15.0,5.747126436781609,0.8127664151569511,3.0,-186.4000000000001,2470.0,14000.0,14.0,140.0,17.642857142857142,18.319752545635904,3.0,2.142857142857143,0.7142857142857143,0.0,0.0
1444,3.0,7.0,142.0,0.54,48310.0,19300.0,45.0,193.0,250.31088082901556,186.08555184403625,11.0,5.699481865284974,0.7685179779373745,3.0,4.5,660.0,8800.0,14.0,88.0,7.5,11.547005383792516,1.0,1.1363636363636365,0.6560798513518475,0.0,0.0
1445,3.0,7.0,142.0,0.58,26230.0,10800.0,45.0,108.0,242.8703703703704,194.1486255365044,6.0,5.555555555555555,0.7746852097537735,3.0,0.0,0.0,4400.0,14.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1446,3.0,7.0,143.0,0.5,58930.0,26800.0,45.0,268.0,219.88805970149252,115.1360088611628,15.0,5.597014925373134,0.5899771754045484,3.0,-197.5,2470.0,13500.0,14.0,135.0,18.296296296296298,19.083075568370734,3.0,2.2222222222222223,0.7407407407407408,0.0,0.0
1447,3.0,7.0,143.0,0.54,43810.0,18200.0,45.0,182.0,240.7142857142857,192.7554854455649,9.0,4.945054945054945,0.6018929203353475,2.0,-30.0,660.0,8500.0,14.0,85.0,7.764705882352942,12.29197347306945,1.0,1.1764705882352942,0.6792356108113244,0.0,0.0
1448,3.0,7.0,143.0,0.58,24510.0,10600.0,45.0,106.0,231.22641509433964,199.5249193710722,5.0,4.716981132075472,0.6670818690439128,2.0,0.0,660.0,4500.0,14.0,45.0,14.666666666666666,21.16950987028628,1.0,2.2222222222222223,1.2830005981991683,0.0,0.0
