racer_ID,racer_rank,racer_male,racer_age,racer_doub_win,racer_ave_st_time
4085,3,1,38,0.409,0.22
4086,4,1,37,0.503,0.15
4087,2,1,37,0.068,0.19
4088,2,0,37,0.213,0.21
4089,4,1,37,0.554,0.14
4090,2,1,37,0.306,0.16
4091,2,1,37,0.206,0.16
4092,2,1,36,0.240,0.16
4093,2,1,36,0.216,0.19
4094,3,1,36,0.359,0.17
4095,2,1,36,0.491,0.17
4096,4,1,36,0.451,0.15
4097,2,1,35,0.240,0.19
4098,2,0,35,0.250,0.18
4099,4,1,39,0.550,0.17
4100,3,1,38,0.419,0.16
4101,4,1,38,0.557,0.17
4102,4,1,38,0.475,0.16
4103,2,1,38,0.250,0.22
4104,3,1,38,0.347,0.13
4105,2,1,38,0.302,0.20
4106,2,1,38,0.275,0.21
4107,2,1,38,0.158,0.19
4108,4,1,38,0.619,0.16
4109,4,1,37,0.485,0.16
4110,2,1,37,0.269,0.15
4111,2,1,37,0.319,0.16
4112,4,1,37,0.492,0.19
4113,2,1,37,0.261,0.18
4114,2,1,37,0.273,0.17
4116,2,1,36,0.254,0.21
4117,4,0,36,0.446,0.18
4118,3,1,36,0.376,0.15
4119,4,1,36,0.474,0.16
4120,3,1,36,0.428,0.17
4121,3,1,36,0.395,0.15
4122,3,1,36,0.383,0.15
4123,4,0,36,0.595,0.19
4124,3,1,35,0.390,0.17
4125,2,0,38,0.080,0.25
4126,2,1,38,0.169,0.17
4128,3,1,37,0.348,0.15
4129,2,1,37,0.218,0.17
4131,3,1,37,0.398,0.17
4133,4,1,37,0.459,0.16
4134,3,1,37,0.410,0.17
4136,4,1,37,0.564,0.16
4137,4,1,37,0.525,0.15
4138,2,1,37,0.291,0.17
4139,3,1,37,0.424,0.16
4140,4,1,37,0.500,0.18
4142,3,1,36,0.364,0.17
4143,2,1,36,0.289,0.16
4144,4,1,36,0.565,0.17
4145,2,1,36,0.211,0.24
4146,2,1,36,0.295,0.16
4147,2,1,36,0.154,0.16
4148,4,1,35,0.507,0.15
4150,4,1,35,0.474,0.15
4151,2,1,35,0.272,0.21
4152,3,1,37,0.333,0.19
4153,2,1,37,0.283,0.17
4154,3,1,37,0.388,0.16
4155,4,1,37,0.441,0.16
4156,3,1,36,0.371,0.16
4158,2,1,36,0.244,0.18
4159,2,1,36,0.316,0.16
4160,2,1,36,0.142,0.17
4161,2,1,36,0.292,0.17
4162,2,1,36,0.228,0.17
4163,4,1,35,0.485,0.19
4164,2,1,35,0.207,0.17
4166,4,1,35,0.508,0.14
4167,2,1,35,0.186,0.16
4168,4,1,35,0.450,0.15
4169,2,1,35,0.160,0.20
4170,2,0,35,0.219,0.19
4171,4,1,35,0.491,0.16
4172,3,1,35,0.365,0.15
4173,4,1,35,0.509,0.16
4174,4,1,35,0.511,0.16
4175,3,1,35,0.410,0.16
4176,2,1,35,0.152,0.21
4177,2,1,35,0.306,0.18
4179,3,1,34,0.378,0.15
4180,2,1,34,0.238,0.16
4181,2,1,34,0.257,0.19
